,A1,A2,A3,A4,B1,B2,B3,B4,all8
0,0.7379525390849424,0.13236042855307767,0.13835908817857895,0.9948320067476139,0.5996542801238859,0.9614550112712624,0.9654215840509557,0.9826465927757918,0.965684446837421
1,0.9252999447955563,0.13867088232556835,0.05509017328770933,0.9649012813540154,0.6392453229977529,0.9704949588309457,0.9138115486202572,0.9938837346736189,1.0
2,0.7715701475161545,0.15117841255358114,0.1496712128239093,0.9600112031061162,0.636196751482199,0.9140304202757056,0.9565007145952775,0.9353528795812722,0.9670498483819434
3,0.7595930577282294,0.13832335329341316,0.1272486749759477,0.9499844686218558,0.577491976505117,0.9376747961625328,0.9195477358201937,0.9606549098831619,0.9831285973070741
4,0.7564879739300985,0.14013814971953906,0.0898853850711166,0.9889499370655614,0.6767964904431634,0.9604055410799128,0.962851667357612,0.9830665369846119,1.0
5,0.7547969334137814,0.1238491581081958,0.1281493122514274,0.9602002717940671,0.5799455536432075,0.9569688990161648,0.8937864068191935,0.9608240300060135,0.9669511152545888
6,0.7867369186567854,0.11002155735583802,0.08501927001731918,0.9893045053244826,0.5979463695704127,0.9490486139806439,0.9789450103725609,0.960492164893927,1.0
7,0.7549800430459918,0.18691716997271782,0.18829833217488945,0.9884389178158018,0.6819010203138408,0.9655691546192794,0.9459053029269173,0.967140470782028,0.9834109935653587
8,0.8022290903246904,0.17071091256088158,0.05942233957111879,0.9608557484465496,0.6313438735736266,0.9156169462923596,0.9587449708822045,0.9717920727162084,0.9547661640684897
9,0.8305514432533889,0.04151489286265423,0.10717960994599976,0.9724464889715235,0.6413641417965656,0.9256072492181059,0.9672041516493516,0.977269792070257,0.983192080250175
10,0.7858803469010522,0.09558750094343337,0.07677862032965244,0.9793792286287206,0.6286047192450258,0.9665252834832873,0.9553121789359229,0.9718809415918785,0.9773135093565752
11,0.8243873263965242,0.09139287255358594,0.09139287255358594,0.9711754826918862,0.5430233999616045,0.9657040279831711,0.9396694756158972,0.9652599137480011,1.0
12,0.8204072951030198,-0.06335716010580879,0.19047619047619047,0.9710224713809315,0.6991974364244768,0.9878783399072131,0.9530006525547848,0.9674225216125811,0.9772376543209876
13,0.7645648074350224,0.13236042855307767,0.10056655946313377,0.9666440876780195,0.6060613069853273,0.989743318610787,0.9701425001453319,0.9772376543209876,0.9772376543209876
14,0.7653749516204769,0.1651227318015439,0.13209818544123514,0.9833783437888833,0.6590728750065217,0.9545454545454546,0.9428090415820634,0.9441236725365632,0.9666028075969576
15,0.8469886469067944,0.16138886058439175,0.17262245994657324,0.9885710532241612,0.6075333147149212,0.9321492461027345,0.9514531821875089,0.9383582777791996,0.9773830820342448
16,0.8899787490197123,0.005659752785133549,0.09499601884039625,0.9514531821875089,0.5258040534079165,0.9885710532241612,0.9320337272260423,0.9487634418908161,0.9773830820342448
17,0.7528701366949025,0.12941939442218645,0.1604590052795401,0.9434887822193653,0.7015848657414531,0.9306327605559722,0.9306327605559722,0.9378833361691069,0.9603955887459895
18,0.7212232337206417,0.19937312634028354,0.1645025301325462,0.9941690465022816,0.6639895760887408,0.954144524358669,0.9664708656063741,1.0,1.0
19,0.763635136976565,0.12069696622066203,0.07021045531185578,0.9789450103725609,0.6498591458848033,0.9893045053244826,0.9639984073082949,1.0,0.9828497755811983
20,0.7350681435835014,0.12941939442218645,0.16493823414925762,0.9894176915848295,0.6307586153489182,0.9558697453035626,0.9595791156584854,0.9546850998463902,0.9718584937419051
21,0.7814404801072825,0.09212080834910402,0.12249064216911383,0.9697815168769667,0.6104855964546307,0.9756060828611426,0.9421467239438888,0.9875771574795099,0.97077715882055
22,0.8537504038005762,0.07167108201470451,0.07989574804842628,0.9486699072053446,0.640841508515246,0.9828067413836207,0.9323225143443993,0.9158396636503475,0.9608872169270216
23,0.790071532252643,0.10873530872478505,0.14010092067454877,0.9828067413836207,0.7684039367756184,0.9598117918495954,0.9560222249632359,0.9834109935653587,1.0
24,0.7888426505157586,0.11125121406857431,0.13652694610778443,0.9950371902099892,0.6008407367229561,0.9615733941975924,0.9491579957524989,0.9768421052631578,1.0
25,0.850779641489615,0.14327567212219228,0.15287136328478543,1.0,0.5860710210346592,0.961244233049177,0.9507082380237135,0.9660267522580241,0.9828253592502345
26,0.875904101187689,0.06285366061336978,0.08304750638045334,0.9815368735540919,0.5939295961095,0.9756060828611426,0.9529144646879353,1.0,0.9771376905192457
27,0.7080624959038775,0.07373347151565567,0.05700811648048859,0.9564684565510646,0.5450893599399181,0.9799979793876925,0.9367910599729662,0.9543814432989691,0.9771907216494845
28,0.7116981846941656,0.16320049776322168,0.18636996487752233,0.9835605239881408,0.6710457068192244,0.8684204025439493,0.957875656437659,0.9607212301901792,1.0
29,0.8028710681337802,0.160059883029025,0.1401596105583382,0.9534695246253411,0.6967488039332436,0.9592570014650478,0.9550329376979163,0.9543982381137454,0.9670809011723244
30,0.7483530367026975,0.07110366524629655,0.16362081001971673,0.9840838646332837,0.6170074890950854,0.9034881028131435,0.9738858291644985,0.9340633705248357,0.9340633705248357
31,0.7873218313286567,0.0196703041875712,0.12334036401578155,0.9524791309238018,0.6903315257004566,0.9574271077563381,0.9243207949834489,0.9675588936937933,0.9603791409809244
